arm,index,model,prompt_tokens,frontend_wait_s,local_scheduler_wait_s,prefill_wait_s,actual_prefill_service_s,decode_start_wait_s,ttft_s,tpot_s,e2e_s
D0,0,model_2,76,0.0014102458953857422,0.0012555122375488281,0.0026819705963134766,0.03700065612792969,0.010462522506713867,0.042348384857177734,0.020238954241913142,4.130617141723633
D0,1,model_4,84,0.0008797645568847656,0.005741119384765625,0.003080606460571289,0.03991246223449707,0.01244044303894043,0.04961395263671875,0.04259065290292104,16.4044246673584
D0,2,model_5,356,0.0004992485046386719,0.005205392837524414,0.003372669219970703,0.08196282386779785,0.05967211723327637,0.09104013442993164,0.06108754873275757,1.0684409141540527
D0,3,model_5,22,0.0005793571472167969,0.0020914077758789062,0.033469438552856445,0.030994653701782227,0.0268857479095459,0.06713485717773438,0.07214175537228584,27.769568920135498
D0,4,model_2,90,0.0011723041534423828,0.0036962032318115234,0.007883310317993164,0.010602712631225586,0.015710115432739258,0.023354530334472656,0.031659583891591715,7.874931335449219
D0,5,model_6,163,0.0022573471069335938,0.0039234161376953125,0.0055599212646484375,0.05877995491027832,0.02077317237854004,0.07052063941955566,0.04493588295535765,3.1710965633392334
D0,6,model_5,142,0.0010449886322021484,0.008648157119750977,0.05602383613586426,0.032334327697753906,0.05150794982910156,0.09805130958557129,0.040920805423817735,2.021329164505005
D0,7,model_5,10,0.0008409023284912109,0.008353471755981445,0.23697781562805176,0.0249176025390625,0.04469704627990723,0.2710897922515869,0.05870848704295553,9.488322257995605
D0,8,model_6,23,0.0004401206970214844,0.003185749053955078,0.005372285842895508,0.020784854888916016,0.022114038467407227,0.029783010482788086,0.0468223021093723,10.611623287200928
D0,9,model_5,10,0.0006868839263916016,0.0036029815673828125,0.13487672805786133,0.02368950843811035,0.02013874053955078,0.1628561019897461,0.04791130622227987,4.187405824661255
D0,10,model_4,27,0.0006747245788574219,0.005455493927001953,0.023569345474243164,0.02624821662902832,0.025460481643676758,0.05594778060913086,0.0445852055876694,12.406049728393555
D0,11,model_3,17,0.0007112026214599609,0.009410381317138672,0.08798861503601074,0.07607412338256836,0.021459102630615234,0.17418432235717773,0.04020646535433256,8.014445066452026
D0,12,model_3,8,0.0006582736968994141,0.0040280818939208984,0.004130125045776367,0.03783822059631348,0.042694091796875,0.046654701232910156,0.049651624634861946,19.112878561019897
D0,13,model_3,359,0.0010046958923339844,0.0007495880126953125,0.027706384658813477,0.05581355094909668,0.02452993392944336,0.08527421951293945,0.04639755456875532,3.7042834758758545
D0,14,model_3,8,0.0007462501525878906,0.00683283805847168,0.0056340694427490234,0.0558474063873291,0.024498701095581055,0.0690605640411377,0.049614292879899345,19.120949029922485
D0,15,model_1,483,0.0008993148803710938,0.006788015365600586,0.22602248191833496,0.07581830024719238,0.04894375801086426,0.309528112411499,0.02188345044851303,1.009798526763916
D0,16,model_3,308,0.0009698867797851562,0.009720087051391602,0.11254477500915527,0.032334327697753906,0.026245594024658203,0.15556907653808594,0.04775000501562048,1.4448192119598389
