migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_1,meta-llama/Llama-3.2-1B,0,1,1787159602.8082657,1787159604.2132962,1787159605.2903543,1.4050304889678955,0.0,2.482088565826416,target-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,11.483465970523374,True,0.000848075053728943,,0.00035,1
1,model_3,meta-llama/Llama-3.2-3B,1,0,1787159632.9995801,1787159635.3309326,1787159646.004366,2.331352472305298,0.0,13.004785776138306,target-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,9.674882820581084,True,0.06566650357347732,,0.00035,7
2,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787159666.3192275,1787159667.9623578,1787159677.25821,1.6431303024291992,0.0,10.938982486724854,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,10.584849865982184,True,0.1068806636286535,,0.00035,12
3,model_3,meta-llama/Llama-3.2-3B,0,1,1787159697.507798,1787159699.302121,1787159707.377184,1.7943229675292969,0.0,9.869385957717896,target-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,4.9518765473301105,True,0.12680485413402112,,0.00035,17
4,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787159727.796286,1787159729.1357088,1787159731.0988402,1.3394227027893066,0.0,3.302554130554199,target-first,0,1,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,5.6141527381452905,True,0.07181604785453796,,0.00035,22
5,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787159758.2642229,1787159759.91745,1787159761.229822,1.6532270908355713,0.0,2.9655990600585938,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.653317036437713,True,0.12861514930918844,,0.00035,28
6,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787159768.4667695,1787159859.9573936,1787159859.9573936,91.49062418937683,91.49062418937683,91.49062418937683,source-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,10.584849865982184,True,0.11377541282237313,,0.00035,61
7,model_5,meta-llama/Llama-3.1-8B,0,1,1787159793.8545575,1787159795.9519162,1787159812.2675743,2.0973587036132812,0.0,18.41301679611206,target-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,13.17477813052413,True,0.07553473995309887,,0.00035,35
8,model_3,meta-llama/Llama-3.2-3B,1,0,1787159832.7098377,1787159834.4287212,1787159848.0531147,1.7188835144042969,0.0,15.343276977539062,target-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,9.674882820581084,True,0.05777206120728485,,0.00035,40
9,model_3,meta-llama/Llama-3.2-3B,0,1,1787159863.4539123,1787159865.742608,1787159879.8654091,2.288695812225342,0.0,16.411496877670288,target-first,0,1,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,4.9518765473301105,True,0.07252745485361001,,0.00035,44
10,model_5,meta-llama/Llama-3.1-8B,1,0,1787159895.2722356,1787159896.999602,1787159916.9412563,1.7273664474487305,0.0,21.669020652770996,target-first,0,1,16060522496,0,16060522496,host-to-device + helper-gpu-p2p,6.78101785816963,True,0.16569485665430184,,0.00035,48
11,model_1,meta-llama/Llama-3.2-1B,0,1,1787159917.0383246,1787159948.678355,1787159948.678355,31.64003038406372,31.64003038406372,31.64003038406372,source-first,0,1,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,11.483465970523374,True,,,,
12,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787159927.3033977,1787159929.653353,1787159942.2488437,2.3499553203582764,0.0,14.945446014404297,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.653317036437713,True,0.11018231945377079,,0.00035,51
13,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787159957.8653827,1787159960.7314217,1787159962.0645978,2.8660390377044678,0.0,4.1992151737213135,target-first,0,1,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,5.629400502943799,True,0.11428780669635377,,0.00035,55
14,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787160019.6474838,1787160020.928961,1787160032.5547278,1.2814772129058838,0.0,12.907243967056274,target-first,0,1,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,10.584849865982184,True,0.14442488506254644,,0.00035,67
